CMDLINE C:\Python\311\python.exe Vamprior_4branch.py
MEM 793.027344 1721046165.2444
MEM 793.039062 1721046165.3446
MEM 793.046875 1721046165.4452
MEM 793.113281 1721046165.5458
MEM 793.113281 1721046165.6464
MEM 793.113281 1721046165.7469
MEM 793.113281 1721046165.8476
MEM 793.113281 1721046165.9482
MEM 793.113281 1721046166.0487
MEM 793.113281 1721046166.1493
MEM 793.113281 1721046166.2499
MEM 793.121094 1721046166.3506
MEM 793.132812 1721046166.4511
MEM 793.140625 1721046166.5517
MEM 793.148438 1721046166.6518
MEM 793.156250 1721046166.7524
MEM 793.164062 1721046166.8530
MEM 793.429688 1721046166.9539
MEM 793.707031 1721046167.0547
MEM 794.515625 1721046167.1557
MEM 796.558594 1721046167.2567
MEM 797.933594 1721046167.3578
MEM 797.972656 1721046167.4588
MEM 798.007812 1721046167.5594
MEM 798.031250 1721046167.6597
MEM 798.050781 1721046167.7604
MEM 798.062500 1721046167.8609
MEM 798.085938 1721046167.9615
MEM 798.105469 1721046168.0622
MEM 798.125000 1721046168.1628
MEM 798.148438 1721046168.2632
MEM 798.164062 1721046168.3636
MEM 798.187500 1721046168.4639
MEM 798.210938 1721046168.5645
MEM 798.230469 1721046168.6649
MEM 798.304688 1721046168.7654
MEM 798.304688 1721046168.8658
MEM 798.304688 1721046168.9663
MEM 798.316406 1721046169.0668
MEM 798.375000 1721046169.1674
MEM 798.390625 1721046169.2678
MEM 798.406250 1721046169.3686
MEM 798.468750 1721046169.4692
MEM 798.468750 1721046169.5693
MEM 798.468750 1721046169.6696
MEM 798.480469 1721046169.7698
MEM 798.496094 1721046169.8703
MEM 798.351562 1721046169.9707
MEM 798.695312 1721046170.0714
MEM 799.113281 1721046170.1721
MEM 799.648438 1721046170.2728
MEM 800.699219 1721046170.3735
MEM 801.351562 1721046170.4746
MEM 801.832031 1721046170.5753
MEM 803.039062 1721046170.6760
MEM 803.960938 1721046170.7768
MEM 805.109375 1721046170.8778
MEM 806.101562 1721046170.9789
MEM 806.199219 1721046171.0799
MEM 818.007812 1721046171.1803
MEM 818.730469 1721046171.2810
MEM 819.160156 1721046171.3814
MEM 819.519531 1721046171.4822
MEM 819.832031 1721046171.5825
MEM 820.203125 1721046171.6832
MEM 820.750000 1721046171.7839
MEM 821.968750 1721046171.8844
MEM 822.628906 1721046171.9851
MEM 823.667969 1721046172.0854
MEM 824.816406 1721046172.1863
MEM 826.050781 1721046172.2874
MEM 827.507812 1721046172.3885
MEM 828.417969 1721046172.4892
MEM 829.378906 1721046172.5901
MEM 830.300781 1721046172.6911
MEM 831.609375 1721046172.7920
MEM 833.121094 1721046172.8924
MEM 834.687500 1721046172.9929
MEM 835.804688 1721046173.0934
MEM 837.105469 1721046173.1938
MEM 838.664062 1721046173.2948
MEM 839.429688 1721046173.3957
MEM 841.042969 1721046173.4967
MEM 842.640625 1721046173.5973
MEM 843.410156 1721046173.6982
MEM 845.632812 1721046173.7986
MEM 846.750000 1721046173.8990
MEM 848.382812 1721046173.9997
MEM 849.742188 1721046174.1002
MEM 851.480469 1721046174.2009
MEM 852.824219 1721046174.3013
MEM 853.644531 1721046174.4024
MEM 864.164062 1721046174.5032
MEM 866.773438 1721046174.6040
MEM 867.039062 1721046174.7048
MEM 868.679688 1721046174.8059
MEM 869.226562 1721046174.9069
MEM 869.550781 1721046175.0074
MEM 869.550781 1721046175.1084
MEM 869.550781 1721046175.2091
MEM 801.183594 1721046175.3098
MEM 801.191406 1721046175.4107
MEM 801.191406 1721046175.5117
MEM 801.191406 1721046175.6124
MEM 801.191406 1721046175.7133
MEM 806.675781 1721046175.8138
MEM 815.714844 1721046175.9143
MEM 816.273438 1721046176.0148
MEM 816.300781 1721046176.1155
MEM 816.300781 1721046176.2160
MEM 816.359375 1721046176.3169
MEM 816.371094 1721046176.4176
MEM 816.371094 1721046176.5185
MEM 816.425781 1721046176.6194
MEM 816.433594 1721046176.7204
MEM 816.933594 1721046176.8211
MEM 817.160156 1721046176.9215
MEM 817.363281 1721046177.0224
MEM 817.746094 1721046177.1233
MEM 818.140625 1721046177.2241
MEM 818.683594 1721046177.3250
MEM 818.726562 1721046177.4256
MEM 818.726562 1721046177.5266
MEM 818.953125 1721046177.6277
MEM 819.660156 1721046177.7284
MEM 820.550781 1721046177.8291
MEM 821.589844 1721046177.9302
MEM 822.492188 1721046178.0309
MEM 823.539062 1721046178.1313
MEM 824.308594 1721046178.2318
MEM 825.257812 1721046178.3326
MEM 826.375000 1721046178.4333
MEM 827.539062 1721046178.5343
MEM 828.996094 1721046178.6350
MEM 830.261719 1721046178.7354
MEM 831.945312 1721046178.8365
MEM 838.066406 1721046178.9375
MEM 838.406250 1721046179.0382
MEM 838.656250 1721046179.1388
MEM 840.273438 1721046179.2396
MEM 840.996094 1721046179.3406
MEM 840.996094 1721046179.4415
MEM 841.003906 1721046179.5423
MEM 841.117188 1721046179.6433
MEM 841.121094 1721046179.7438
MEM 857.613281 1721046179.8444
MEM 882.894531 1721046179.9451
MEM 896.339844 1721046180.0455
MEM 911.796875 1721046180.1462
